dataset,overlap_level,method,metric,n,mean,std,standard_error,ci95_low,ci95_high
incident_event_log,high,BGM,delivery_time,26,0.9260511082790988,0.03653187597325785,0.007164490325222815,0.912008707241662,0.9400935093165355
incident_event_log,high,BGM,pS,26,8.372468168772246,7.6159971971694596,1.4936199355321167,5.444973095129297,11.299963242415194
incident_event_log,high,BGM,avg_pT,26,0.004052285781012765,0.002623467751381606,0.0005145043560606229,0.003043857243133944,0.005060714318891586
incident_event_log,high,BGM,avg_psr,26,0.44319582381575917,0.043770547662470835,0.008584110640445456,0.4263709669604861,0.46002068067103224
incident_event_log,high,BGM,avg_risk_value,26,0.0037141493263499604,0.002328833264406559,0.000456721779196655,0.0028189746391245165,0.004609324013575404
incident_event_log,high,BGM,quality_q,26,7.394889172090128,3.653187597325785,0.7164490325222815,5.990649068346456,8.7991292758338
incident_event_log,high,BGM,social_welfare,26,581.7332233341047,161.4449445803817,31.661958568702772,519.6757845394472,643.790662128762
incident_event_log,high,BGM,quality_adjusted_welfare,26,4857.176919503395,3174.345597356607,622.5403901464879,3636.9977548162788,6077.356084190511
incident_event_log,high,BGM,welfare_per_time,26,635.5598970835431,196.59723552990263,38.55589001097578,559.9903526620305,711.1294415050556
incident_event_log,high,BGM,quality_per_time,26,8.146918664709311,4.2606291289803275,0.8355781180327893,6.509185553365044,9.784651776053577
incident_event_log,high,BGM,runtime,30,0.0008675893147786458,0.00010520251993313473,1.9207264424588258e-05,0.0008299430765064528,0.0009052355530508389
incident_event_log,high,Our Model,U_SC,30,660.8084696222589,68.84428820846048,12.569189869053575,636.1728574789139,685.444081765604
incident_event_log,high,Our Model,U_TSP,30,38.156557187133075,22.53576839326835,4.114449566568343,30.092236036659123,46.220878337607026
incident_event_log,high,Our Model,U_DP,30,80.35619950238662,46.0149443730249,8.401141005150384,63.88996313229187,96.82243587248136
incident_event_log,high,Our Model,delivery_time,30,0.8682920617085668,0.03044411065127727,0.0055583087156292855,0.8573977766259334,0.8791863467912001
incident_event_log,high,Our Model,pS,30,10.053871904245995,4.213062839385434,0.7691965177727222,8.54624672941146,11.56149707908053
incident_event_log,high,Our Model,avg_pT,30,0.011944681920597186,0.006746913082945244,0.0012318121630186113,0.009530330081080708,0.014359033760113663
incident_event_log,high,Our Model,avg_psr,30,0.4925674077630818,0.04581604061063051,0.008364826312671698,0.47617234819024523,0.5089624673359183
incident_event_log,high,Our Model,avg_risk_value,30,0.004084753482653278,0.0024352610482616544,0.00044461580318219505,0.0032133065084161755,0.00495620045689038
incident_event_log,high,Our Model,quality_q,30,13.170793829143324,3.044411065127727,0.5558308715629284,12.081365320879986,14.260222337406663
incident_event_log,high,Our Model,social_welfare,30,779.3212263117787,58.56951549815766,10.69328160682979,758.3623943623923,800.2800582611651
incident_event_log,high,Our Model,quality_adjusted_welfare,30,10433.669080031774,3354.7872034181096,612.4975423139236,9233.173897096483,11634.164262967064
incident_event_log,high,Our Model,welfare_per_time,30,901.0238009758633,103.44451066329859,18.886297313457444,864.0066582414868,938.0409437102398
incident_event_log,high,Our Model,quality_per_time,30,15.313519463778754,4.283299219429519,0.7820198676752727,13.78076052313522,16.84627840442229
incident_event_log,high,Our Model,runtime,30,0.0004895925521850586,7.517844790086445e-05,1.3725643917843454e-05,0.0004626902901060854,0.0005164948142640318
incident_event_log,high,SRC,U_SC,30,597.6428255141662,115.94966391044831,21.1694154862984,556.1507711610213,639.1348798673112
incident_event_log,high,SRC,U_TSP,30,12.196792365232016,2.3663196743727446,0.4320288879740772,11.350015744802825,13.043568985661206
incident_event_log,high,SRC,U_DP,30,6.366898694130177,3.8458306248697336,0.7021493951951139,4.990685879547754,7.743111508712601
incident_event_log,high,SRC,delivery_time,30,0.9203745375370739,0.028551344489937774,0.005212738474746583,0.9101575701265706,0.9305915049475771
incident_event_log,high,SRC,pS,30,6.713154976302918,4.883049066435205,0.8915187076970347,4.96577830921673,8.460531643389105
incident_event_log,high,SRC,avg_pT,30,0.004419852935767506,0.0027241951356143154,0.0004973677089406018,0.0034450122262439267,0.005394693645291086
