decay_type,experiment_name,varied_parameter,varied_value,mechanism,USC,UTSP,UDP,delivery_time,pS,pT,avg_pT,psr,avg_psr,quality_q,risk_cost
linear,effectiveness,pT_A2,0.0007290969899665552,sensitivity_pT,675.1846478468843,61.55728728721943,48.05446259355188,0.8676609173982917,9.181222726159957,0.0007290969899665552,0.0007290969899665552,0.5322587944508805,0.5322587944508805,13.233908260170836,26.641060390169393
linear,effectiveness,pT_A2,0.0007357859531772575,sensitivity_pT,675.1846478468843,61.47344423313672,48.15926641115528,0.8676609173982917,9.181222726159957,0.0007357859531772575,0.0007357859531772575,0.5322587944508805,0.5322587944508805,13.233908260170836,26.641060390169393
linear,effectiveness,pT_A2,0.0007424749163879599,sensitivity_pT,675.1846478468843,61.389601179054,48.264070228758676,0.8676609173982917,9.181222726159957,0.0007424749163879599,0.0007424749163879599,0.5322587944508805,0.5322587944508805,13.233908260170836,26.641060390169393
linear,effectiveness,pT_A2,0.0007491638795986622,sensitivity_pT,675.1846478468843,61.30575812497128,48.36887404636207,0.8676609173982917,9.181222726159957,0.0007491638795986622,0.0007491638795986622,0.5322587944508805,0.5322587944508805,13.233908260170836,26.641060390169393
linear,effectiveness,pT_A2,0.0007558528428093645,sensitivity_pT,675.1846478468843,61.22191507088856,48.47367786396547,0.8676609173982917,9.181222726159957,0.0007558528428093645,0.0007558528428093645,0.5322587944508805,0.5322587944508805,13.233908260170836,26.641060390169393
linear,effectiveness,pT_A2,0.0007625418060200669,sensitivity_pT,675.1846478468843,61.13807201680584,48.57848168156887,0.8676609173982917,9.181222726159957,0.0007625418060200669,0.0007625418060200669,0.5322587944508805,0.5322587944508805,13.233908260170836,26.641060390169393
linear,effectiveness,pT_A2,0.0007692307692307692,sensitivity_pT,675.1846478468843,61.05422896272313,48.683285499172264,0.8676609173982917,9.181222726159957,0.0007692307692307692,0.0007692307692307692,0.5322587944508805,0.5322587944508805,13.233908260170836,26.641060390169393
linear,effectiveness,pT_A2,0.0007759197324414715,sensitivity_pT,675.1846478468843,60.97038590864041,48.78808931677566,0.8676609173982917,9.181222726159957,0.0007759197324414715,0.0007759197324414715,0.5322587944508805,0.5322587944508805,13.233908260170836,26.641060390169393
linear,effectiveness,pT_A2,0.000782608695652174,sensitivity_pT,675.1846478468843,60.88654285455769,48.89289313437906,0.8676609173982917,9.181222726159957,0.000782608695652174,0.000782608695652174,0.5322587944508805,0.5322587944508805,13.233908260170836,26.641060390169393
linear,effectiveness,pT_A2,0.0007892976588628763,sensitivity_pT,676.4572180446559,61.639310669669044,48.99854353001339,0.866583916775199,9.181222726159957,0.0007892976588628763,0.0007892976588628763,0.5329978927509544,0.5329978927509544,13.341608322480102,26.830473050249214
linear,effectiveness,pT_A2,0.0007959866220735786,sensitivity_pT,676.4572180446559,61.554177722446596,49.104959714041456,0.866583916775199,9.181222726159957,0.0007959866220735786,0.0007959866220735786,0.5329978927509544,0.5329978927509544,13.341608322480102,26.830473050249214
linear,effectiveness,pT_A2,0.000802675585284281,sensitivity_pT,676.4572180446559,61.469044775224155,49.211375898069505,0.866583916775199,9.181222726159957,0.000802675585284281,0.000802675585284281,0.5329978927509544,0.5329978927509544,13.341608322480102,26.830473050249214
